,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,locally_defined,is_submittable_by_client,Reason
311048,15789,emacs,0.12.0,emacs,8dec34cd2465d15e,2018,71936613,25641041,22932242,MacroBang,unsafe_raw_call!,src/macros.rs,25,25,UnsafeBlockUserProvided,22122112,Unsafe,C,non-const,non-const,non-const,False,True,False,False,FFI
996981,92293,emacs-rs-module,0.12.0,emacs_rs_module,d3d492d5a2f8557,2018,418186353,150942641,135314896,Root,{{root}},src/lib.rs,46,4,UnsafeBlockUserProvided,130019291,Unsafe,C,non-const,non-const,non-const,False,True,False,False,FFI
789140,63444,exif,0.0.1,exif,4689db6f10c2a7,2015,288256576,104076653,93215165,Root,{{root}},src/value.rs,123,8,UnsafeBlockUserProvided,89433388,Unsafe,C,non-const,non-const,non-const,False,True,False,False,Choice
853460,71520,ffi_utils,0.15.0,ffi_utils,1bfd817152a9e77d,2018,323071886,116725101,104628920,Root,{{root}},src/callback.rs,46,8,UnsafeBlockUserProvided,100313829,Unsafe,C,non-const,non-const,non-const,False,True,False,True,Other
653454,48690,freertos_rs,0.3.0,freertos_rs,b352bcb361fcab7,2015,225314594,81083033,72202490,Root,{{root}},src/timers.rs,101,12,UnsafeBlockUserProvided,69363234,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,True,Callback
805043,64991,gelf_logger,0.1.4,gelf_logger,1c4c96f703aa6595,2015,294395757,106424699,95343188,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/gelf_logger-0.1.4/src/batch.rs,29,4,UnsafeBlockUserProvided,91396700,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnOnce[0]::call_once[0],core.ops.function.FnOnce.call_once,True,True,False,False,Callback
782498,61842,glib,0.9.1,glib,3f901345611e5e2c,2015,281785738,101670666,91036799,Root,{{root}},src/subclass/object.rs,316,8,UnsafeBlockUserProvided,87335041,Unsafe,C,non-const,non-const,non-const,False,True,False,False,Sublassing
456394,28191,glutin,0.22.0,glutin,d77130319a633335,2018,127035248,45436773,40804558,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/glutin-0.22.0/src/api/egl/mod.rs,754,8,UnsafeBlockUserProvided,39378940,Normal,system,non-const,non-const,non-const,False,True,False,False,FFI
297039,14194,gstreamer-base,0.15.0,gstreamer_base,66974ae5b55af49d,2015,65055614,23162444,20777397,Root,{{root}},src/subclass/base_transform.rs,282,8,UnsafeBlockUserProvided,20089650,Unsafe,C,non-const,non-const,non-const,False,True,False,False,Sublassing
713123,55882,hash_ord,0.1.10,hash_ord,3d9ce3f177850940,2015,256885095,92159890,82425042,Root,{{root}},src/hash_map.rs,928,8,UnsafeBlockUserProvided,79272998,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnMut[0]::call_mut[0],core.ops.function.FnMut.call_mut,True,True,False,False,Callback
974820,88184,heterovec,0.1.2,heterovec,5d9cd5a949198b99,2018,398530612,143882959,128918347,Root,{{root}},src/memory.rs,283,8,UnsafeBlockUserProvided,123884979,Normal,Rust,non-const,non-const,non-const,False,True,False,True,Callback
740315,58941,hg-cpython,0.0.1,rusthg,84036259908ec52a,2015,268571815,96623547,86533188,Root,{{root}},src/cindex.rs,93,19,UnsafeBlockUserProvided,83141287,Unsafe,C,non-const,non-const,non-const,False,True,False,False,FFI
427736,24798,hsa,0.1.0,hsa,3638aac77ec318a6,2015,111473280,39780884,35813977,Root,{{root}},src/lib.rs,152,4,UnsafeBlockUserProvided,34553995,Unsafe,C,non-const,non-const,non-const,False,True,False,False,FFI
712989,55853,im-rc,14.1.0,im_rc,bc79701b9e8211c2,2018,256820063,92133846,82394201,Root,{{root}},src/vector/focus.rs,610,8,UnsafeBlockUserProvided,79249711,Normal,rust-call,core,core[e667]::ops[0]::function[0]::FnMut[0]::call_mut[0],core.ops.function.FnMut.call_mut,True,True,False,True,Callback
149495,7106,imgui,0.2.1,imgui,3f61e654fe031db0,2018,33836843,11996798,10791722,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/imgui-0.2.1/src/clipboard.rs,86,16,UnsafeBlockUserProvided,10350230,Unsafe,C,non-const,non-const,non-const,False,True,False,False,FFI
438674,26260,introsort,0.6.0,introsort,15a0fbbf4b2bb505,2015,117676127,42017853,37777082,Root,{{root}},src/sort.rs,258,4,UnsafeBlockUserProvided,36452302,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,True,Callback
506814,31834,jh-x86_64,0.2.2,jh_x86_64,5138bdc17a4016cc,2018,145427898,51983161,46587859,Root,{{root}},src/compressor.rs,233,8,UnsafeBlockUserProvided,44840747,Unsafe,Rust,non-const,non-const,non-const,False,True,True,False,Choice
956063,85355,kay,0.5.0,kay,c988c359a53632aa,2018,387473240,139535942,124925806,Root,{{root}},src/class/mod.rs,102,16,UnsafeBlockUserProvided,120101525,Normal,rust-call,core,core[e667]::ops[0]::function[0]::Fn[0]::call[0],core.ops.function.Fn.call,True,True,False,True,Callback
