,crate_name,crate_hash,def_path,def_path_hash,summary_key,unsafe_reason
629223,coreboot_table,868dac5bdab66cd0,coreboot_table[922f]::record[0]::{{impl}}[3]::clone[0],7bc45d444523171afa9e1c39b2cea01d,coreboot_table.record.implement_record.clone,borrow of packed field
635097,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[71]::partial_cmp[0],9486c36ad72cd3b73755c0b0ce1abf8c,rust_extra.arrays.implement_arrays.partial_cmp,borrow of packed field
654572,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[32]::partial_cmp[0],e77406bba05c38e05cd0f2ca32d5081c,rust_extra.arrays.implement_arrays.partial_cmp,borrow of packed field
659222,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[7]::cmp[0],684740c5ca5c3bed4ed73f4447ccd61,rust_extra.arrays.implement_arrays.cmp,borrow of packed field
665288,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[143]::as_mut_ptr[0],df53914751cfaea61617b258447d2f14,rust_extra.arrays.implement_arrays.as_mut_ptr,borrow of packed field
665619,coreboot_table,868dac5bdab66cd0,coreboot_table[922f]::framebuffer[0]::{{impl}}[0]::fmt[0],9e3d01fe151c1d08d29d56e3105ce900,coreboot_table.framebuffer.implement.fmt,borrow of packed field
675775,driverkit,3947540cc34b465b,driverkit[ab95]::{{impl}}[2]::fmt[0],56873cebc109664d534d0851b501b038,driverkit.implement_2.fmt,borrow of packed field
697309,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[84]::ge[0],27ce54dfc56be0ecc4c0ecc9e65421bc,rust_extra.arrays.implement_arrays.ge,borrow of packed field
718660,multiboot,1ef2440825c22254,multiboot[f482]::{{impl}}[8]::fmt[0],4eca5ea5c82e218010f7a56f399166f9,multiboot.implement_8.fmt,borrow of packed field
723261,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[60]::hash[0],93f120962a1ec99bf457ff64d0d69f1,rust_extra.arrays.implement_arrays.hash,borrow of packed field
741046,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[155]::as_mut[0],c05f668f1a615e9d2df0d9fa539b82b5,rust_extra.arrays.implement_arrays.as_mut,borrow of packed field
750772,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[64]::as_mut[0],f341b775b3758c23a6dff207a10d3b84,rust_extra.arrays.implement_arrays.as_mut,borrow of packed field
751424,hwio,1f3e40ea2153fbd7,hwio[5988]::mmio[0]::{{impl}}[1]::write[0],689f22337d2f46951c1a52090962e273,hwio.mmio.implement_mmio.write,borrow of packed field
754534,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[72]::cmp[0],345aeb3e0307735ca4d97104e4382c44,rust_extra.arrays.implement_arrays.cmp,borrow of packed field
765934,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[32]::le[0],9ee3c8c491c607736c51b65e2606f37f,rust_extra.arrays.implement_arrays.le,borrow of packed field
767837,minidump,e5761667c9fbc72f,minidump[cf38]::minidump[0]::{{impl}}[20]::print[0],97de153a44ec0f845c412a4182f02c90,minidump.minidump.implement_minidump.print,borrow of packed field
773650,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[20]::cmp[0],97bad167fd57cebf99ebebf00bcc032e,rust_extra.arrays.implement_arrays.cmp,borrow of packed field
777429,dmi,8471fcce61989881,dmi[3116]::{{impl}}[17]::clone[0],84e3eb8f93f070d4d333d31f36190c6,dmi.implement_17.clone,borrow of packed field
783627,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[91]::as_mut_ptr[0],23156e7a91b4ab60b711daa71c517cd9,rust_extra.arrays.implement_arrays.as_mut_ptr,borrow of packed field
793034,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[55]::fmt[0],b361368e4206e684e7ee7f308501bfb0,rust_extra.arrays.implement_arrays.fmt,borrow of packed field
803386,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[136]::gt[0],a7c481dec2ad3ba8fba917fe8892516e,rust_extra.arrays.implement_arrays.gt,borrow of packed field
807577,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[29]::fmt[0],490ada6486c98a0e887efe2304019c06,rust_extra.arrays.implement_arrays.fmt,borrow of packed field
820136,rust_extra,156ff18b2f63fa66,rust_extra[930c]::arrays[0]::{{impl}}[140]::into_iter[0],e972f73838aa26cbc649f38054be2529,rust_extra.arrays.implement_arrays.into_iter,borrow of packed field
