,build,package_name,package_version,crate_name,build_crate_hash,edition,block,unsafe_scope,unsafe_scope_span,unsafe_scope_expansion_kind,unsafe_scope_expansion_kind_descr,file_name,line,col,check_mode,call,unsafety,abi,target_crate,call_target_def_path,call_target_summary_key,is_target_trait_item,reviewed,is_unique_target,dyn Trait,generic bound,macro var
31063,1077,futures-executor-preview,0.3.0-alpha.19,futures_executor,e8bd2ae127d0bdfa,2018,5687869,2039316,1828281,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/futures-executor-preview-0.3.0-alpha.19/src/thread_pool.rs,336,8,UnsafeBlockUserProvided,1723432,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
519667,32273,gameboy_opengl,0.2.0,gameboy_opengl,30cdb1fea3f19a90,2015,148375086,52944927,47379008,Root,{{root}},src/lib.rs,353,4,UnsafeBlockUserProvided,45673578,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
937558,82802,gbm,0.5.0,gbm,d8eb50a876b33735,2015,374753068,135242918,121070232,Root,{{root}},src/device.rs,139,18,UnsafeBlockUserProvided,116165917,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
887267,76257,gdbm,0.1.1,gdbm,c6ca7a1cf2c6f36c,2015,343016627,124031799,111186339,Root,{{root}},src/lib.rs,209,8,UnsafeBlockUserProvided,106530968,Normal,Rust,core,core[e667]::convert[0]::Into[0]::into[0],core.convert.Into.into,True,True,True,False,False,False
181191,8935,gdk-pixbuf,0.8.0,gdk_pixbuf,b03d4b3efe37e037,2015,41602370,14846862,13277981,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/gdk-pixbuf-0.8.0/src/auto/pixbuf_format.rs,80,8,UnsafeBlockUserProvided,12775432,Normal,Rust,glib,glib[c917]::translate[0]::ToGlibPtr[0]::to_glib_none[0],glib.translate.ToGlibPtr.to_glib_none,True,True,True,False,False,False
131683,5893,generic-array,0.13.2,generic_array,3e872521be4fb485,2015,29038623,10217502,9096713,Root,{{root}},/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/generic-array-0.13.2/src/lib.rs,439,8,UnsafeBlockUserProvided,8745903,Normal,Rust,core,core[e667]::iter[0]::traits[0]::iterator[0]::Iterator[0]::map[0],core.iter.traits.iterator.Iterator.map,True,True,True,False,False,False
384690,20588,ggraphics,0.0.2,ggraphics,d926dc4d1acd8f8d,2018,92226342,32925207,29565216,Root,{{root}},src/lib.rs,349,8,UnsafeBlockUserProvided,28685786,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
716152,56208,glitchup,0.4.1,glitchconsole,5b380c739777c0dc,2018,258088734,92609756,82851663,Root,{{root}},src/loaders.rs,24,19,UnsafeBlockUserProvided,79667130,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::from_error[0],core.ops.try.Try.from_error,True,True,True,False,False,False
46491,2001,goblin,0.1.3,goblin,226cbd7a293e9e27,2018,10068927,3606546,3228391,MacroBang,elf_section_header_std_impl!,/opt/rustwide/cargo-home/registry/src/github.com-1ecc6299db9ec823/goblin-0.1.3/src/elf/section_header.rs,335,16,UnsafeBlockUserProvided,3032809,Normal,Rust,core,core[e667]::ops[0]::try[0]::Try[0]::from_error[0],core.ops.try.Try.from_error,True,True,True,False,False,False
234819,9724,graphannis-capi,0.7.1,graphannis_capi,c38324ab90ed5138,2015,45351908,16130472,14486870,MacroBang,cstr!,src/lib.rs,32,8,UnsafeBlockUserProvided,13978708,Normal,Rust,core,core[e667]::convert[0]::From[0]::from[0],core.convert.From.from,True,True,True,False,False,False
952388,84646,hydrogen,0.1.5,hydrogen,46e4072805f33adf,2015,383943181,138312538,123832331,Root,{{root}},src/types.rs,118,31,UnsafeBlockUserProvided,119036824,Normal,Rust,hydrogen,hydrogen[d7e4]::Stream[0]::send[0],hydrogen.Stream.send,True,True,True,False,False,False
630744,46319,hike,0.1.2,hike,3c2efc1669b77a76,2015,213818420,76795669,68374393,Root,{{root}},src/main.rs,71,4,UnsafeBlockUserProvided,65879064,Normal,Rust,core,core[e667]::ops[0]::deref[0]::Deref[0]::deref[0],core.ops.deref.Deref.deref,True,True,True,False,False,False
1015565,96327,hyper-fs,0.2.0,hyper_fs,574c820cede1a98b,2015,435880847,157381417,141004354,Root,{{root}},src/static_file.rs,535,16,UnsafeBlockUserProvided,135607451,Unsafe,Rust,bytes,bytes[9583]::buf[0]::buf_mut[0]::BufMut[0]::advance_mut[0],bytes.buf.buf_mut.BufMut.advance_mut,True,True,True,False,False,False
575023,39170,hyper-multipart-rfc7578-mem-uploads,0.1.0-alpha3,hyper_multipart_rfc7578_mem_uploads,79bf09b2fda0443e,2015,180591873,64882330,57967816,Root,{{root}},src/client_.rs,137,12,UnsafeBlockUserProvided,55805808,Unsafe,Rust,bytes,bytes[9583]::buf[0]::buf_mut[0]::BufMut[0]::bytes_mut[0],bytes.buf.buf_mut.BufMut.bytes_mut,True,True,True,False,False,False
